county,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,region
Bedford County,37.405477,-79.711414,12.659884585638645,50427.0,33.44381568310428,48.8,97.0,0.0,3.0,77.0,7.0,0.0,0.0,4.0,12.0,greater_roanoke_area
Bedford County,37.337858,-79.520233,23.681173999230744,33799.0,19.116447666515633,44.8,84.0,8.0,5.0,75.0,11.0,0.0,2.0,7.0,5.0,greater_roanoke_area
Bland County,37.155884,-81.022154,12.612091408735898,41484.0,31.880165289256198,42.8,87.0,3.0,9.0,89.0,5.0,0.0,2.0,0.0,4.0,western_virginia
Bland County,37.111224,-81.242509,14.16,45e3,31.335324232081913,46.5,93.0,2.0,3.0,83.0,10.0,0.0,1.0,3.0,2.0,western_virginia
Botetourt County,37.65561,-79.829605,17.87475593309044,49679.0,32.603423680456494,46.5,98.0,0.0,2.0,84.0,11.0,0.0,2.0,2.0,2.0,greater_roanoke_area
Botetourt County,37.530144,-79.661803,19.47891838579765,48668.0,30.28361344537815,47.4,94.0,3.0,1.0,92.0,5.0,0.0,0.0,0.0,3.0,greater_roanoke_area
Botetourt County,37.5045,-79.854861,14.826061934441084,81667.0,26.91217150760719,48.7,90.0,3.0,3.0,86.0,6.0,0.0,2.0,0.0,6.0,greater_roanoke_area
Botetourt County,37.447949,-79.964097,20.31149342529084,79167.0,23.63755078351712,45.7,97.0,1.0,2.0,90.0,7.0,0.0,0.0,1.0,3.0,greater_roanoke_area
Botetourt County,37.425516,-79.829451,16.59181316566149,62344.0,27.120743034055728,48.5,91.0,1.0,8.0,89.0,6.0,0.0,1.0,0.0,3.0,greater_roanoke_area
Botetourt County,37.369086,-79.897558,17.08687593774823,67982.0,20.575093090608192,42.7,86.0,5.0,9.0,91.0,7.0,0.0,0.0,0.0,2.0,greater_roanoke_area
Botetourt County,37.369078,-79.844513,18.959310876111772,71395.0,26.882297254654464,48.2,93.0,2.0,3.0,96.0,1.0,1.0,0.0,1.0,1.0,greater_roanoke_area
Botetourt County,37.349368,-79.81896,15.64700049578582,60510.0,28.560344827586206,43.4,87.0,5.0,7.0,90.0,5.0,0.0,0.0,0.0,4.0,greater_roanoke_area
Brunswick County,36.898213,-77.864652,22.97918033764839,33526.0,30.15647226173542,47.3,96.0,1.0,2.0,82.0,10.0,0.0,0.0,3.0,5.0,greater_richmond_area
Brunswick County,36.801603,-77.774948,18.858443159192188,42188.0,24.498269896193772,37.1,85.0,7.0,6.0,79.0,8.0,1.0,5.0,2.0,5.0,greater_richmond_area
Brunswick County,36.754046,-77.833747,22.193898305084748,36875.0,31.02857142857143,39.1,87.0,6.0,6.0,75.0,18.0,4.0,1.0,1.0,0.0,greater_richmond_area
Brunswick County,36.641856,-77.882739,24.311521477318347,37365.0,29.20135746606335,48.0,93.0,6.0,1.0,86.0,6.0,0.0,1.0,3.0,4.0,greater_richmond_area
Buchanan County,37.350454,-82.02665,22.972150713784227,21365.0,27.665260196905766,38.0,93.0,5.0,1.0,85.0,12.0,0.0,3.0,0.0,0.0,western_virginia
Buchanan County,37.405282,-82.098751,13.432191189173626,27784.0,28.58539094650206,48.3,98.0,1.0,1.0,86.0,8.0,1.0,3.0,0.0,2.0,western_virginia
Buchanan County,37.259455,-82.189854,15.67200545791235,30781.0,25.414452709883104,50.2,96.0,4.0,0.0,98.0,1.0,0.0,0.0,0.0,1.0,western_virginia
